pm.lu_iD@A;pm.lu_iQ@A;pm.flux_H;pm.lu_wS_rpm@rpm;pm.flux_lpf_E;pm.watt_lpf_wP@W;pm.const_lpf_U@V;ap.temp_PCB@C;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.729;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.694;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.695;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.738;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.716;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.724;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.708;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.733;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.701;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.707;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.729;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.721;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.721;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.703;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.720;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.731;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.706;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.730;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.699;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.727;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.701;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.728;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.702;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.719;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.706;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.725;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.709;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.722;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.701;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.721;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.712;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.723;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.707;29.9;
-0.000;-0.131;8;0.00;3.06E-5;0.0;47.693;29.9;
