time@s;hal.CNT_diag2_pc@%;ap.temp_PCB@C;ap.temp_EXT@C;pm.vsi_DC@%;pm.lu_iD@A;pm.lu_iQ@A;pm.lu_wS_kmh@km/h;pm.lu_mq_load@Nm;pm.const_fb_U@V;pm.watt_drain_wA@A;pm.watt_consumed_Wh@Wh;pm.watt_reverted_Wh@Wh;pm.kalman_bias_Q@V;pm.watt_drain_wP@W;pm.watt_traveled_km@km;pm.watt_fuel_gauge@%;
0.0000;20.6;43.4;35.4;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.0500;18.5;43.4;35.4;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.1000;18.5;43.4;35.4;1.03;0.469;0.060;-0.0;0.000;49.007;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.1500;18.5;43.4;35.4;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.2001;18.5;43.3;35.4;1.03;0.469;0.060;-0.0;0.000;49.007;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.2501;18.6;43.3;35.4;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.3001;20.9;43.3;35.5;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.3501;20.9;43.3;35.5;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.4001;18.5;43.3;35.6;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.4501;18.5;43.3;35.6;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.5002;18.5;43.3;35.7;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.5502;18.5;43.3;35.7;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.6002;18.5;43.3;35.7;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.6502;18.5;43.3;35.7;1.03;0.469;0.060;-0.0;0.000;49.007;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.7002;18.6;43.3;35.6;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.7502;18.5;43.3;35.6;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.8002;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.8503;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.9003;18.5;43.3;35.7;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
0.9503;18.5;43.3;35.7;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.0003;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.0503;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.1003;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.1503;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.2004;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.2504;18.5;43.3;35.8;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.3004;18.5;43.3;35.9;1.03;0.469;0.060;-0.0;0.000;49.050;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
1.3504;18.5;43.3;35.9;1.03;0.469;0.060;-0.0;0.000;49.028;-0.001;27011706.829;NaN;NaN;-0.0;2.462;NaN;
