time@s;pm.lu_iD@A;pm.lu_iQ@A;pm.lu_wS_rpm@rpm;pm.lu_mq_load@Nm;pm.watt_consumption_wA@A;pm.const_fb_U@V;ap.temp_PCB@C;pm.vsi_AQ;pm.vsi_BQ;pm.vsi_CQ;
0.050000;-0.103;-0.249;259.10;0.010;0.0;46.677;44.1;0;134;98;
0.100000;0.165;-0.570;394.66;-0.060;-0.0;46.570;44.0;153;0;56;
0.150000;-0.496;-0.832;247.56;0.018;0.0;46.655;44.0;0;150;74;
0.200000;-1.133;0.136;382.36;-0.055;0.0;46.655;44.1;166;0;108;
0.250000;-0.468;-0.579;256.48;0.018;0.0;46.655;44.1;0;144;59;
0.300000;-0.808;-0.519;387.37;-0.054;0.0;46.634;44.1;169;0;104;
0.350000;0.036;-0.841;269.19;0.009;0.0;46.677;44.1;0;138;94;
0.400000;-0.439;0.848;390.42;-0.056;0.0;46.698;43.9;148;0;82;
0.450000;-0.016;0.015;269.49;0.009;0.0;46.655;43.9;0;128;92;
0.500000;-0.398;0.361;392.02;-0.058;-0.0;46.677;43.9;151;0;54;
0.550000;-0.861;-0.048;290.50;-0.005;0.0;46.719;43.9;0;133;134;
0.600000;-0.070;0.465;369.42;-0.041;0.0;46.677;44.0;136;0;0;
0.650000;0.077;-0.245;254.21;0.016;0.0;46.634;44.0;0;106;121;
0.700000;0.466;-0.384;341.80;-0.029;0.0;46.634;43.9;122;0;0;
0.750000;-0.436;-0.720;265.15;0.008;0.0;46.634;43.9;0;117;138;
0.800000;0.395;-0.426;390.81;-0.061;0.0;46.655;44.0;133;0;0;
0.850000;-0.144;-0.226;289.89;-0.007;0.0;46.613;44.0;0;125;115;
0.900000;-0.794;0.541;360.30;-0.043;0.0;46.719;43.7;151;0;66;
0.950000;-0.703;-0.150;269.52;0.006;0.0;46.655;43.7;0;144;83;
1.000000;-0.725;0.378;385.03;-0.057;-0.0;46.655;44.0;155;0;93;
1.050000;-0.345;-0.544;257.15;0.013;0.0;46.634;44.0;0;136;67;
1.100000;-0.562;-0.816;379.70;-0.051;0.0;46.677;43.8;164;0;93;
1.150000;-0.568;-0.189;241.99;0.027;0.0;46.655;43.8;0;137;45;
1.200000;-1.224;0.292;395.22;-0.059;0.0;46.655;44.0;165;0;111;
1.250000;-0.800;-0.621;274.17;0.009;0.0;46.677;44.0;0;148;83;
1.300000;-0.401;0.599;377.70;-0.048;0.0;46.634;43.8;143;0;62;
1.350000;-0.827;-0.244;270.81;0.008;0.0;46.613;43.8;0;141;114;
1.400000;0.222;-0.204;377.49;-0.053;-0.0;46.634;44.0;132;0;0;
1.450000;-1.393;0.190;283.97;0.001;0.0;46.634;44.0;0;141;133;
1.500000;-0.109;0.949;348.02;-0.030;0.0;46.677;43.9;129;0;0;
1.550000;-0.939;0.403;302.15;-0.013;0.0;46.677;43.9;0;125;126;
1.600000;0.040;-0.175;387.52;-0.057;0.0;46.655;43.9;131;0;0;
1.650000;-0.762;-0.265;286.04;-0.004;0.0;46.719;43.9;0;117;132;
1.700000;0.168;0.675;344.92;-0.032;0.0;46.698;43.8;125;0;0;
1.750000;-1.545;-0.217;269.71;0.006;0.0;46.634;43.8;0;149;129;
1.800000;-0.181;-0.683;405.62;-0.071;-0.0;46.677;43.7;139;0;0;
1.850000;-0.421;-0.116;274.37;0.006;0.0;46.698;43.7;0;126;102;
1.900000;-1.064;0.413;400.69;-0.063;0.0;46.677;43.8;157;0;71;
1.950000;-0.843;-0.116;279.07;0.001;0.0;46.698;43.8;0;135;102;
2.000000;-0.839;0.467;399.78;-0.062;0.0;46.677;43.7;151;0;80;
